text,label,notes
"Jujutsu Kaisen's animation in the Yuji vs. Mahito fights is spectacular but the narrative around it is thin. The show works better as a tournament-style spectacle than as a character study, and it's at its weakest when it tries to be both at the same time.",Analysis,
"Cowboy Bebop's episodic structure is why it ages well. Because most episodes have self-contained emotional arcs, you can watch any single episode and feel something complete. Shows that rely on serialized tension become artifacts of when you watched them. Bebop is always now.",Analysis,
Made in Abyss earns its brutal moments because it establishes the rules of the Abyss as a physical system before breaking the characters against it. The Curse of the Abyss isn't horror for shock value — it's a narrative device that makes every descent feel genuinely dangerous.,Analysis,
Gurren Lagann's first half is a better show than its second half. The small-scale underground village storyline has stakes the post-timeskip cosmic battles can't match because you care about specific people rather than abstract civilizations.,Analysis,
Evangelion's Rei Ayanami is often flattened into 'the quiet one' but her arc is about what happens when you design a person to have no interiority and then give them one anyway. Her confusion about her own feelings is the most honest depiction of an identity forming from nothing.,Analysis,
"The reason Paranoia Agent works as a series rather than a film is that Satoshi Kon uses the serial format to replicate the way urban anxiety spreads. Each episode is a different person touched by the same mass hysteria, which is the actual subject of the show.",Analysis,
Kaguya-sama Love is War's comedy depends on both characters being equally unreasonable. If either Kaguya or Miyuki were slightly more emotionally mature the whole conflict would dissolve. The show is careful to give them each specific blind spots that are plausible given their backgrounds.,Analysis,
"Dungeon Meshi's food focus isn't just a hook — it's an argument about what fantasy worlds should take seriously. If monsters are real animals, eating them is a natural consequence, and taking that seriously makes the dungeon feel more like an ecosystem and less like a video game.",Analysis,
"Your Lie in April's greatest strength is also its most criticized element: the melodrama is earned because the show builds the relationship before it destroys it. The criticism that it's manipulative ignores that manipulation requires investment, and investment requires good character work.",Analysis,
Lycoris Recoil works as an action show but fumbles its own politics. The premise — state-sponsored child assassins — demands more ideological reckoning than the show is willing to provide. It keeps the cool aesthetics and avoids the uncomfortable implications.,Analysis,
"The Tatami Galaxy's non-linear structure isn't gimmicky — it's the thesis. Each loop through the same year with different choices produces the same result, which is the point: the protagonist's unhappiness isn't caused by his choices but by his relationship to choice itself.",Analysis,
"Oshi no Ko does something unusual for an idol anime: it treats the parasocial relationship between fan and idol as ethically complicated rather than just sweet. The show understands that parasocial love is a consumption act, not a mutual one.",Analysis,
Violet Evergarden's episodic structure works because each letter-writing job is a contained grief workshop. The show understands that emotional recovery isn't a single arc — it's many small encounters with other people's pain that gradually teach you to name your own.,Analysis,
The Dangers in My Heart is a masterclass in showing a character change through behavior rather than declaration. Ichikawa never announces that he's falling in love or becoming a better person — you see it in what he stops doing and what he starts noticing.,Analysis,
"Spy x Family works because it's not actually a spy show or a family show — it's a competence comedy where all three characters are excellent at one thing and completely lost in another. The humor comes from that mismatch, not from the plot.",Analysis,
Odd Taxi is the best mystery anime in years partly because the cast of animals is doing narrative work. The animal designs create a distance that lets you sit with characters who would be too pathetic or too repellent if drawn as humans. The cute packaging is a trap.,Analysis,
"JoJo's Bizarre Adventure's power escalation is often called a weakness, but each stand ability is a narrative puzzle. The battles are less about strength and more about who can exploit the rules more creatively, which keeps the logic intact even as the power levels become absurd.",Analysis,
Puella Magi Madoka Magica's deconstruction works because it cares about what it's deconstructing. The magical girl genre it subverts is taken seriously on its own terms before being dismantled. Shows that deconstruct without that foundation are just cynical.,Analysis,
Nichijou's comedy is structurally different from other slice-of-life shows: it uses escalation and absurdist commitment rather than timing and relatability. The joke isn't the punchline — it's how far the show is willing to go past the punchline.,Analysis,
The original Fullmetal Alchemist (2003) handles Alphonse's arc better than Brotherhood because it commits to the idea that Al might not be real — that his soul might not have survived. Brotherhood treats this as a plot point. 2003 treats it as an existential horror.,Analysis,
"Dr. Stone's central premise — science as heroism — is undermined by how easily Senku succeeds. The show would be more interesting if the timeline were longer and the failures more consequential. As it stands, it's science as power fantasy rather than science as process.",Analysis,"Could be Hot Take — makes a strong verdict — but the reasoning is the point of the post, not the conclusion."
Keep Your Hands Off Eizouken! is the most accurate depiction of creative work in anime. The gap between the vision in your head and what you can actually produce with the resources you have is treated as generative tension rather than failure.,Analysis,
The ending of Anohana works because the show earns it by making Meiko genuinely difficult to be around rather than just sympathetically tragic. The fact that she's somewhat responsible for her own lingering is what makes her moving on feel like resolution rather than loss.,Analysis,
"Jujutsu Kaisen Season 2 is the best-animated season of any shonen in years, but the writing doesn't match the direction. Gojo's unsealing is visually extraordinary and narratively anticlimactic at the same time.",Analysis,
"The thing Frieren does that most isekai don't is treat magic as a discipline rather than a gift. Mages study, specialize, and have specific limitations. That constraint makes the world feel real even when the individual moments are fantastical.",Analysis,
"Samurai Champloo's anachronistic hip-hop soundtrack is doing more than flavor — it's arguing that the Edo period the show depicts is mythological, not historical. The music signals that you're watching a remix, not a record.",Analysis,
"A Silent Voice is a better film than Your Name because its emotional stakes are interpersonal rather than cosmic. Whether Shoya and Shoko repair their relationship matters because it matters to them, not because the world will end otherwise.",Analysis,
"Madoka Rebellion is a divisive film because it genuinely upsets the series' conclusion rather than extending it. Homura's choice at the end is either a betrayal of the series' themes or their darkest expression, depending on whether you read her love as devotion or possession.",Analysis,
One Piece's pacing problem isn't the filler — it's the manga's structure translated too faithfully. Oda's storytelling is built around chapter-level beats that don't aggregate well into episodes. The anime needed more adaptive editing than Toei was willing to do.,Analysis,
The genius of Kaiji is that the gambling mechanics are completely fair — every game is technically winnable — but the social dynamics make winning nearly impossible for someone without resources. It's a show about how the rules are designed to look neutral while being rigged.,Analysis,
"Demon Slayer's biggest narrative problem is Zenitsu. His comedy undermines the horror of the demons in a way that Inosuke's doesn't, because Inosuke's weirdness is consistent with the world. Zenitsu's screaming is a different tonal register that the show never reconciles.",Analysis,
Evangelion's sequel films are best understood as Anno's argument with his own work — a director trying to give his characters the resolution he couldn't in the original. 3.0+1.0 is less a film than an act of self-therapy made public.,Analysis,
"Berserk (1997) succeeds where every subsequent adaptation fails because it understands the Golden Age arc as a tragedy, not a prologue. The pacing treats every scene as if the end is inevitable — which it is — giving even happy moments a sense of mourning.",Analysis,
The isekai genre's proliferation isn't a quality problem — it's a sorting problem. There are good and bad isekai in roughly the same proportion as good and bad shonen. The volume makes the bad ones more visible because there's more total content.,Analysis,
"Yojouhan Shinwa Taikei is Masaaki Yuasa's most structurally perfect work because the limitation — one cramped apartment, one narrow social world — forces the show to find infinity in the small. The constraint is the point.",Analysis,
"The pacing of Banana Fish is its most underrated quality. A story covering years of trauma and violence could easily feel rushed at 24 episodes, but the show compresses and expands time deliberately, slowing down for emotional beats and accelerating through plot mechanics.",Analysis,
"Ping Pong the Animation uses its visual style — the scratchy rough linework — to make the characters feel like they're being drawn rather than animated, which suits a story about identity and performance. You can't separate the aesthetics from the themes.",Analysis,
"Re:Zero Season 2 has better character writing than Season 1 but worse structural pacing. The extended scenes in Roswaal's manor are necessary for what the show is doing but they require patience that the first season never asked for, which is why the drop-off in viewership makes sense.",Analysis,
The reason Bakemonogatari's conversation-heavy format works is that the dialogue scenes are doing visual work. The editing is more aggressively stylized than most action anime. Shaft uses stillness to create unease rather than movement.,Analysis,
"Land of the Lustrous is better appreciated as a manga because the CG animation, while technically impressive, creates an emotional distance the hand-drawn panels don't. Phos's fragmentation should feel intimate; in 3D it looks clinical.",Analysis,
"Seasonal anime discourse rewards spectacle over craft. Shows like Frieren or Mushishi get less week-to-week engagement than shows with flashy action because there's less to screenshot and clip. The metrics of fandom discussion systematically undervalue quiet, deliberate work.",Analysis,Hard edge case: has specific examples and a structural argument but no textual evidence from the shows themselves. Labeled Analysis because the argument is the point.
"The first season of Overlord is the only one where Ainz's omnipotence creates dramatic tension. When the audience doesn't know his power ceiling, his schemes feel uncertain. Once you know he can't really lose, the show becomes wish-fulfillment rather than strategy.",Analysis,
"People dismiss Sword Art Online's first arc but miss what made it compelling in 2012: it was one of the first anime to take the psychology of living in a game seriously. The anxiety it tapped into was genuine, even if the execution was sloppy.",Analysis,
Kaguya-sama's third season is the best season because it finally commits to the emotional payoff that the previous two seasons deferred. The comedy stops being a defense mechanism and becomes a way of showing two people who've run out of reasons to hide.,Analysis,
"The Chimera Ant arc works as tragedy because Togashi makes the ants sympathetic before making them monstrous. By the time they're enemies you understand them well enough to mourn what they could have been, which is the only thing that earns the ending.",Analysis,
Mob Psycho 100 Season 2 is the rare sequel that improves on the original by changing what kind of show it is. Season 1 is a comedy with emotional depth. Season 2 is a character study that's also funny. The shift is earned because Mob's growth makes it necessary.,Analysis,
Blue Period as an anime has a pacing problem the manga doesn't — the internal monologue that makes Yatora's artistic development legible on the page doesn't translate to narration on screen without feeling slow. The show is better read than watched.,Analysis,
The failure of The Rising of the Shield Hero Season 2 is instructive: the show's first season worked because the victim framing created genuine paranoia. Season 2 drops that dynamic and becomes a generic isekai without the chip on its shoulder that made it distinctive.,Analysis,
"Cyberpunk Edgerunners works as a standalone tragedy because it commits to its 10-episode length. There's no padding, no detour arcs — the show knows exactly how long its story is and stops when it's done. Most anime could learn from that restraint.",Analysis,
"Made in Abyss uses cute character designs as a deliberate trap. The visual sweetness makes the violence more disturbing, not less. If Riko and Reg looked like they belonged in a horror show the brutality would be expected. The contrast is doing narrative work.",Analysis,
The reason Odd Taxi's mystery lands is that the show earns every reveal through characterization. Every twist is something the characters could plausibly have done given who they are. In lesser mysteries the plot reveals character; here the character was always the plot.,Analysis,
Vinland Saga's Farm arc is the first time I've seen a shonen series treat pacifism as a genuine philosophical position rather than a character quirk to be overcome. Thorfinn doesn't return to violence because he's proven wrong — he finds another way. That's rare.,Analysis,
What HxH does with Gon in the Chimera Ant arc is structurally fascinating: the protagonist becomes the most dangerous and least sympathetic character in his own story. Most shonen would never risk the audience turning on the main character like that.,Analysis,
Demon Slayer is the most overrated anime of the past decade. Remove Ufotable's animation and you have a completely average battle shonen with forgettable characters.,Hot Take,
SAO is not that bad. People hate it because it was their first anime and they're embarrassed about it now. If you watched it fresh today you'd call it a solid 7.,Hot Take,
One Piece is legitimately not worth starting in 2025. The investment required is not proportional to the payoff you get.,Hot Take,
Attack on Titan has the worst ending of any major anime in history and it's not close.,Hot Take,
Naruto Shippuden without filler is actually a masterpiece and it's crazy people still write off the whole show.,Hot Take,
Your Name is overrated. It's a very pretty film with a generic romance and people treat it like it invented cinema.,Hot Take,
"Jujutsu Kaisen's story is mediocre. The characters are thin, the power system is inconsistent, and without the animation it would be forgotten in a year.",Hot Take,
The Big Three will never be matched. Every new big three take ages poorly within a year.,Hot Take,
Isekai as a genre is fine and the hate for it is just snobbery. Most genres produce mostly bad content. Isekai isn't special.,Hot Take,
Hunter x Hunter is overrated because people only count the arcs that are good and pretend the rest don't exist.,Hot Take,
Bleach TYBW is better than any arc of JJK and it's not even close.,Hot Take,
Re:Zero is torture porn dressed up as a character study and people are too invested in Emilia vs Rem to admit it.,Hot Take,
Fullmetal Alchemist Brotherhood is the best anime ever made. The discourse peaked there and nothing since has come close.,Hot Take,
Studio Ghibli films are good but not sacred texts of cinema good. The reverence has outrun the quality.,Hot Take,
The anime community's obsession with peak fiction memes has made it impossible to have normal conversations about shows.,Hot Take,
Dr. Stone is more creative and thoughtful than most of the shows people call masterpieces.,Hot Take,
Violet Evergarden is emotionally manipulative in a way that people mistake for depth.,Hot Take,
Evangelion is overanalyzed to the point where actually engaging with it as a show is almost impossible now.,Hot Take,
The Promised Neverland Season 2 isn't even that bad. People treat it like a war crime because Season 1 was so good.,Hot Take,
Death Note drops off a cliff after L dies and anyone who argues otherwise is coping.,Hot Take,
Gintama is the funniest anime ever made and if you haven't watched it you don't actually know what anime can do.,Hot Take,
Solo Leveling is fun and the hate for it is just dunning-kruger from people who think liking simple things is beneath them.,Hot Take,
Bocchi the Rock is a better music anime than K-On and I will die on this hill.,Hot Take,
Chainsaw Man's anime was a disappointment. MAPPA prioritized style over the raw energy that made the manga special.,Hot Take,
Frieren is good but it's not the second coming of anime. Half the people praising it couldn't name three other slow fantasy shows.,Hot Take,Could be Analysis — makes a specific observation about fandom discourse — but the verdict ('not the second coming') is the point.
My Hero Academia's final arc in the manga is genuinely good and the anime adaptation will redeem the series.,Hot Take,
Mushishi is the most boring masterpiece in anime history.,Hot Take,Hard edge case: acknowledges quality while making a subjective verdict. Labeled Hot Take because the claim is the whole post.
The Eminence in Shadow is the most self-aware and entertaining power fantasy in recent memory and it deserves more credit.,Hot Take,
Dungeon Meshi deserved anime of the year over everything it was up against and it's not close.,Hot Take,
The original FMA (2003) has a better ending than Brotherhood and I genuinely don't understand the Brotherhood worship.,Hot Take,
Weathering with You is Makoto Shinkai's best film. The ending is the only honest thing he's ever written.,Hot Take,
People who dropped One Piece before the Alabasta arc didn't give it a fair shot and they know it.,Hot Take,
JJK Season 2 is peak animation and peak animation alone does not make peak anime.,Hot Take,
Kaguya-sama is funnier and smarter than any other rom-com anime and the gap is enormous.,Hot Take,
Made in Abyss Season 2 is the best season of anime released in 2022 and nobody talked about it enough.,Hot Take,
The Tatami Galaxy is the most rewatchable anime ever made and it gets better every single time.,Hot Take,
Spy x Family is peak comfort anime and it's not trying to be anything else and that's perfectly fine.,Hot Take,
The first season of Overlord is still the best isekai ever made. Nothing has topped it.,Hot Take,
Ping Pong the Animation is a top 5 sports anime and anyone who skips it because of the art style is missing out.,Hot Take,
Vinland Saga is the only anime that made me genuinely change my mind about something while watching it.,Hot Take,Could be Low-Effort (short reaction) but makes a specific implicit claim about the show's argumentative power. Labeled Hot Take.
Every seasonal anime community picks a show of the season within the first two weeks and then defends that pick regardless of how the show actually develops.,Hot Take,Could be Analysis — makes a structural observation with implicit argument — but lacks textual evidence from any specific show. Labeled Hot Take.
Code Geass has the best ending of any mecha anime and it's not a debate.,Hot Take,
Anohana is the best tearjerker anime ever made and the criticism that it's manipulative misses the point of tearjerker fiction.,Hot Take,
The dub for Cowboy Bebop is one of the best English dubs ever produced and it's not a concession to say so.,Hot Take,
No Game No Life is a 10/10 show that was made for a very specific type of person and I am that person.,Hot Take,
Cyberpunk Edgerunners is better than most of the original Cyberpunk 2077 content and deserves to be treated as its own work.,Hot Take,
Kaiji is the best gambling anime and it's not Kakegurui. The comparison is embarrassing.,Hot Take,
Classroom of the Elite is carried entirely by Ayanokoji and the show knows it and just leans in completely.,Hot Take,
Half the shows that get called underrated on this sub have 500k MAL users and are not underrated.,Hot Take,
Black Clover deserved more respect from the anime community and the ending arc proves it.,Hot Take,
Fire Force has better animation than Demon Slayer and worse writing which makes them roughly equivalent in overall quality.,Hot Take,
The hate for CG anime is aesthetic snobbery that has cost people genuinely good shows like Land of the Lustrous.,Hot Take,
SAO Alicization is genuinely great and the people who dismissed SAO never went back to find out.,Hot Take,
Rent-A-Girlfriend is a terrible show that I watched all of and I'm not sure what that says about me or it.,Hot Take,
AoT Season 4 Part 1 is the best single season of anime I have ever watched.,Hot Take,
Inuyasha is a more consistent and better-plotted show than its reputation suggests and the nostalgia hate is unearned.,Hot Take,
Dragon Ball Super: Broly is the best Dragon Ball film ever made and it's not close.,Hot Take,
Most people who say they love Berserk have only read the Golden Age and are missing the actual thesis of the manga.,Hot Take,
Re:Zero Season 2 is better than Season 1 and the people who dropped it during the slow arc missed the whole point.,Hot Take,
Tower of God's anime adaptation is better than the webtoon up to episode 10 and then worse than it after.,Hot Take,
The only reason people say Neon Genesis Evangelion is a masterpiece is because it came out before the internet and couldn't be instantly dissected.,Hot Take,
Sword Art Online Abridged is better written than the actual show and that's not even an insult to either of them.,Hot Take,
The seasonal chart hype cycle ruins genuine appreciation of slower-burn shows that need full rewatches to evaluate properly.,Hot Take,Could be Analysis — makes a structural claim about fandom — but no supporting evidence or specific examples. Labeled Hot Take.
People who say they prefer the manga always forget how much the anime added to the experience of reading it first.,Hot Take,
Black Clover's ending arc is better than the last arc of My Hero Academia and it's not debatable.,Hot Take,
Probably an unpopular opinion but Sword Art Online actually has one of the better internal mythologies in isekai and people are too biased to admit it.,Hot Take,Has a mild implicit reason ('people are biased') but the verdict is the point. Labeled Hot Take.
Bocchi the Rock is the best anime of 2022 and it's not particularly close.,Hot Take,
Cid from The Eminence in Shadow is a better written OP protagonist than Saitama and I'll explain if anyone actually wants to engage.,Hot Take,
Evangelion 3.0+1.0 is a masterpiece and the people who hate it are the same people who were mad Evangelion didn't have a happy ending in 1997.,Hot Take,
"Likely an unpopular opinion but even though Mashle Season 1 was great, Season 2 fell flat — the humor got repetitive way too fast.",Hot Take,
Just finished Frieren. I don't know how to go on.,Low-Effort,
Does anyone know when Berserk is getting a proper adaptation?,Low-Effort,
Is the Steins;Gate movie necessary to watch after the series?,Low-Effort,
THAT CHIMERA ANT ARC ENDING. I need to sit down.,Low-Effort,
Do I need to watch the original FMA before Brotherhood?,Low-Effort,
Just started One Piece. Send help.,Low-Effort,
Why does everyone say episode 5 of The Promised Neverland? Just finished it. Oh.,Low-Effort,
Is there a watch order for Monogatari or do I just start at the beginning?,Low-Effort,
Recommend me something like Mushishi. I've tried everything and nothing hits the same.,Low-Effort,
I can't believe how good that last episode of Dungeon Meshi was.,Low-Effort,
What's the best way to get into Gundam?,Low-Effort,
Does Re:Zero get better after the first arc? I found Subaru really hard to like.,Low-Effort,
Just watched Madoka Magica knowing nothing about it. Not okay.,Low-Effort,
Anyone else watching Witch Hat Atelier this season? It's so good.,Low-Effort,
Is the Evangelion dub worth watching or should I stick to sub?,Low-Effort,
I've watched like 300 anime and I still can't explain why Violet Evergarden makes me cry every time.,Low-Effort,"Borderline — mentions a specific show and a specific effect, but is fundamentally a reaction with no argument. Labeled Low-Effort."
What anime should I start if I've only ever watched Demon Slayer and AOT?,Low-Effort,
That JJK Season 2 episode 9. Yeah.,Low-Effort,
Does anyone else rewatch Cowboy Bebop every year? Just me?,Low-Effort,
Just finished Vinland Saga Season 2. I feel weirdly peaceful.,Low-Effort,
Is Bleach TYBW worth watching if I dropped Bleach years ago?,Low-Effort,
Frieren episode 28 destroyed me and I'm still not over it.,Low-Effort,
What anime has the best soundtrack? I need new music to study to.,Low-Effort,
Is the Berserk manga worth reading even though it's unfinished?,Low-Effort,
Oshi no Ko episode 1 changed me as a person. That's it. That's the post.,Low-Effort,
Do I need to read the manga to understand the Demon Slayer ending?,Low-Effort,
I started Gintama on recommendation and I'm still in the boring early episodes. Does it get better?,Low-Effort,
Just got into anime. Where do I even start?,Low-Effort,
The Chainsaw Man OP is unironically one of my favorite songs now. No regrets.,Low-Effort,
Hunter x Hunter is on Netflix now right? Worth starting?,Low-Effort,
Which Fate route should I start with? The visual novel or one of the anime?,Low-Effort,
I don't understand why everyone loves Gurren Lagann. I'm on episode 8 and it feels very silly.,Low-Effort,
Does Bleach pick back up after the Soul Society arc? I stalled out and never went back.,Low-Effort,
I watched Anohana and I'm going to need a few days.,Low-Effort,
What's a good entry point for mecha anime? I've never really gotten into the genre.,Low-Effort,
Just started Berserk 1997. The animation is rough but it's already pulling me in.,Low-Effort,
Recommend me something to watch after Odd Taxi. I need something that trusts my intelligence the same way.,Low-Effort,
The Made in Abyss opening is one of the most deceptive things in anime.,Low-Effort,Borderline Low-Effort/Hot Take — names something specific but doesn't explain why. Labeled Low-Effort per decision rule.
I'm 500 episodes into One Piece. I have no control over my life.,Low-Effort,
Does anyone know what chapter of the manga the Dungeon Meshi anime covers up to?,Low-Effort,
Is season 2 of Lycoris Recoil confirmed yet?,Low-Effort,
I can't decide between watching Tatami Galaxy or Ping Pong next. Which one first?,Low-Effort,
Is there an ongoing anime right now that feels like Vinland Saga Season 2?,Low-Effort,
The Re:Zero season 3 announcement actually broke me. I've been waiting so long.,Low-Effort,
Just watched Your Name for the first time. I understand now.,Low-Effort,
Do people still like Sword Art Online unironically or is it all ironic appreciation now?,Low-Effort,
What's the correct order to watch all the Evangelion content?,Low-Effort,
I started Berserk 2016 before anyone could warn me. I'm so sorry.,Low-Effort,
Looking for slice of life anime with minimal drama. I'm going through a lot right now.,Low-Effort,
Dungeon Meshi made me hungry every single episode. Is that normal?,Low-Effort,
Is the Black Clover movie a good entry point or do you need to watch the series first?,Low-Effort,
Just got done with the Chimera Ant arc. I don't know what real life is anymore.,Low-Effort,
What is everyone watching this season? I'm looking for something new.,Low-Effort,
I stayed up until 4am finishing Re:Zero Season 2. I have work in 3 hours.,Low-Effort,
Can someone explain the Monogatari timeline? I've tried the wiki and I'm more confused.,Low-Effort,
Kaguya-sama Love is War Season 3 was perfect. That's all I wanted to say.,Low-Effort,
First time watching an anime with my partner. We chose Spirited Away. Good call?,Low-Effort,
I watched Texhnolyze and I need someone to talk to about it.,Low-Effort,
idk what to say about that Re:Zero episode. I am speechless.,Low-Effort,
Just finished Ping Pong the Animation. Why did no one tell me it was like this.,Low-Effort,
Is Odd Taxi on any streaming service or do I have to go looking for it?,Low-Effort,
